Movie ID,Title,Release Date,Genre,Director,Actors,Budget,Revenue,Duration,Rating,Awards
1,Sunrise Boulevard,2018-01-15,Drama,Alan Smithee,Emma Stone,"20,150,120,8.2",Best Drama
2,Galactic Odyssey,2020-05-22,Sci-Fi,Betty White,Chris Evans,"180,600,140,8.5",Best Visual Effects
3,Mystery Mansion,2019-10-30,Mystery,Charles Brown,Daniel Craig,"50,200,130,7.8",Best Mystery
4,Love in Tokyo,2021-02-14,Romance,Diana Prince,Anne Hathaway,"30,120,110,7.5",Best Romance
5,The Final Battle,2017-11-22,Action,Ethan Hunt,Tom Cruise,"200,800,150,8.7",Best Action
6,Future Horizons,2022-01-10,Sci-Fi,Fiona Gallagher,Scarlett Johansson,"150,500,135,8.0",Best Sci-Fi
7,Haunted House,2016-10-31,Horror,George Lucas,Jamie Lee Curtis,"40,100,100,6.9",Best Horror
8,Ocean's Melody,2018-06-18,Adventure,Hannah Montana,Leonardo DiCaprio,"70,250,125,8.1",Best Adventure
9,Urban Myths,2019-09-05,Horror,Ian Fleming,Jennifer Lawrence,"60,180,115,7.0",Best Sound Editing
10,Silent Echoes,2020-12-25,Thriller,Jake Long,Benedict Cumberbatch,"55,160,120,7.6",Best Thriller
11,Desert Storm,2017-04-10,War,Karen Page,Mark Wahlberg,"120,400,155,7.9",Best War
12,Autumn Leaves,2021-10-01,Romance,Liam Neeson,Mila Kunis,"25,90,100,7.4",Best Cinematography
13,Space Frontier,2018-03-22,Sci-Fi,Mary Jane,Chris Hemsworth,"220,850,160,8.7",Best Director
14,Shadow Realm,2019-08-30,Fantasy,Nancy Drew,Robert Downey Jr.,"95,300,135,7.8",Best Makeup
15,Midnight Chase,2020-11-11,Action,Oscar Wilde,Jason Statham,"150,500,140,8.2",Best Stunt Coordination
16,The Forgotten Tale,2016-07-04,Drama,Pamela Anderson,Brad Pitt,"45,200,125,7.3",Best Screenplay
17,Crystal Vision,2022-05-05,Documentary,Quentin Tarantino,None,"15,60,90,6.5",None
18,Neon Nights,2017-12-20,Thriller,Rachel Green,Ryan Reynolds,"80,220,130,7.7",Best Editing
